"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01680",1022.39953137642,0.638556501008842,0.752757958605879,0.848289272412955,0.396276890458589,0.747206163566895
"AT1G07160",1522.95786602724,0.354926012092298,0.785708629982376,0.45172726701533,0.651465472435186,0.796576241413894
"AT1G07920",946.524794250111,0.671894996505363,0.742814441576441,0.904526028168531,0.365716539229272,0.747206163566895
"AT1G19250",2230.10488838027,-0.591880977166901,0.603665159459885,-0.980478942492676,0.326849759032812,0.747206163566895
"AT1G32640",1539.40321179978,-0.420258753438091,0.537635950705001,-0.781679039296026,0.434403223096372,0.755158226458792
"AT1G35210",1384.96737134404,-0.485617346461465,0.690715741846472,-0.703063962554663,0.482015889229017,0.755158226458792
"AT1G43910",1228.7462020652,-0.459768253175684,0.796955751577902,-0.576905621504561,0.564003212881475,0.764126324739013
"AT1G51920",552.416983320848,1.2700539831478,1.19604135153658,1.06188133170825,NA,NA
"AT1G53620",708.75084192851,0.965336381465864,0.762511296144995,1.26599617126498,0.205514453017291,0.68994137798662
"AT1G53625",456.582213662507,-0.309063605026908,1.07282036518206,-0.28808513993343,0.773281567277402,0.845214736326463
"AT1G59860",767.81927057295,-0.657458799929211,0.97659923653218,-0.673212486079542,0.500812118776531,0.755593896577913
"AT1G65483",2070.55081615997,0.559248437501747,0.68366448151906,0.818015931234473,0.413348090483814,0.747206163566895
"AT1G68200",1912.45022220209,1.10108453057271,0.806315074207535,1.36557602083141,NA,NA
"AT1G73805",2472.77702561129,-0.00565162473638974,0.576422185350546,-0.00980466206891873,0.99217713684865,0.99217713684865
"AT1G74710",2309.51759774028,0.491577018408427,0.51616443880879,0.95236514073479,0.340911831997553,0.747206163566895
"AT1G77120",1399.75945875211,1.46490048472364,0.72167358826635,2.02986572952283,0.0423701894445347,0.398279780778627
"AT2G04430",1054.85795210986,-1.03601788691245,0.805612524466832,-1.2860002239887,0.198442983507526,0.68994137798662
"AT2G04450",1516.71840412244,0.343347273166563,0.602913354956587,0.569480291560776,0.569030241826925,0.764126324739013
"AT2G14610",1183.11966942766,-1.86799050039559,0.586756141489476,-3.18358917497431,0.00145461300187188,0.0683668110879782
"AT2G17740",1389.31202593441,0.967180211164197,0.591243111952674,1.63584182481202,0.101872696001705,0.578334512397904
"AT2G19190",3592.4220583564,0.183874453019485,0.468788183313269,0.392233549318393,0.69488565740361,0.796576241413894
"AT2G24850",2057.28385040052,-1.50809811998377,0.671813218727802,-2.24481757420556,0.0247798460920467,0.291163191581549
"AT2G26400",1147.25140257073,0.108276968219855,0.648253130707813,0.167028839647299,0.86734735691609,0.926484676705823
"AT2G30770",2664.22882741003,0.669413418860714,0.470944303738378,1.42142799806023,0.155192371819107,0.607836789624835
"AT2G45760",1491.02285858434,-0.314812885689461,0.633046212760209,-0.497298426787539,0.618978621000027,0.786270140189223
"AT3G10815",979.650356808147,0.819058162324024,0.816088639414237,1.00363872595006,0.315552781318329,0.747206163566895
"AT3G13100",2283.89686500896,1.29902162013823,0.447074711842202,2.90560299146763,0.00366546197115657,0.0861383563221793
"AT3G13433",790.782961126788,-1.13033056583617,0.720814346247764,-1.56812995151964,0.116850807840762,0.578334512397904
"AT3G13610",1338.52771388146,0.787836590613074,0.673884566303136,1.16909724603884,0.242364453364572,0.747206163566895
"AT3G26830",3088.34697749823,0.94194722985516,0.529298491517506,1.7796144235261,0.0751390840852753,0.578334512397904
"AT3G27850",994.753701935073,0.254382036469386,0.739861273821035,0.343823964667893,0.730978676559611,0.817999947578612
"AT3G45140",3178.67623345534,-0.196412802249429,0.457004697735183,-0.429782895499344,0.667353576280752,0.796576241413894
"AT3G52430",2327.78735018679,0.508703167695561,0.679189048603206,0.748986116224548,0.4538655735892,0.755158226458792
"AT3G57950",1791.41959225612,-0.218977189847748,0.552884660760233,-0.396063058697718,0.69205850953254,0.796576241413894
"AT4G01250",1542.46154953894,-0.51076736429717,0.580888184423809,-0.879286888583914,0.379245743139876,0.747206163566895
"AT4G05320",1715.64442607436,0.57242601260384,0.653882619618301,0.875426254543958,0.381342019599798,0.747206163566895
"AT4G11370",1099.74744888246,-0.91859323062742,0.643351604677198,-1.42782457360672,0.153342357920644,0.607836789624835
"AT4G12720",1402.08231549474,0.304110750364358,0.586859267055438,0.518200474008412,0.60431840409977,0.786270140189223
"AT4G18960",3193.49222448871,0.287272198235076,0.458017961638681,0.627207276341922,0.530523374193003,0.755593896577913
"AT4G21840",3287.36824214659,1.42401724659266,0.536509066310009,2.65422774005802,0.00794901577263354,0.124534580437925
"AT4G28420",1839.98845145437,0.50344678455259,0.486728617024612,1.03434802668924,0.300973492214434,0.747206163566895
"AT4G39030",1708.85858480857,0.671845174597971,0.693828499679632,0.968315909346747,0.332886621667768,0.747206163566895
"AT5G03840",1035.83584525007,-0.462261685667758,0.735393598789823,-0.628590847715378,0.529616953653539,0.755593896577913
"AT5G09810",2518.53242834889,0.0701338783269342,0.497708598156176,0.140913535725028,0.887938248886153,0.927402171058871
"AT5G13320",2931.85183930642,0.761860044869681,0.494041415924063,1.54209752525441,0.123049896254873,0.578334512397904
"AT5G26690",824.477158592521,-0.660563319542189,0.92106753811346,-0.717171425773143,0.473268328126989,0.755158226458792
"AT5G39670",723.362926419692,-0.0753281722888085,0.99398405815125,-0.0757840849368493,0.939590878089587,0.960016766743708
"AT5G42380",1417.77607758774,0.514507860115318,0.613597017181254,0.83851101897279,0.401743761754592,0.747206163566895
"AT5G44420",805.289006341261,-1.26973115876455,0.806686149667199,-1.57400887481257,0.11548539771362,0.578334512397904
"AT5G52730",988.870366284594,0.909521278356756,0.914249817026059,0.994827957762481,NA,NA
